fellow_id,first_name,last_name,state,alc_code,cohort_number,track,enrollment_date,completion_status,certification_status,geopolitical_zone
3MTT-F00504,Nnamdi,Okonkwo,Katsina,ALC-039,3,Product Management,2024-01-24,incomplete,not certified,North-West
3MTT-F00063,Chukwuemeka,Garba,Katsina,ALC-039,4,UI/UX Design,2024-01-24,incomplete,not certified,North-West
3MTT-F00591,Bola,Okafor,Abuja,ALC-025,3,AI/ML,2024-01-24,complete,certified,North-Central
3MTT-F00091,Fatima,Aliyu,Benue,ALC-002,3,Data Analysis,2024-01-25,incomplete,not certified,North-Central
3MTT-F00827,Kayode,Adegoke,Kebbi,ALC-003,4,Product Management,2024-01-26,incomplete,not certified,North-West
3MTT-F00358,Segun,Okonkwo,Borno,ALC-030,4,AI/ML,2024-01-27,complete,certified,North-East
3MTT-F00658,Maryam,Ojo,Yobe,ALC-019,3,UI/UX Design,2024-01-27,incomplete,not certified,North-East
3MTT-F00050,Bola,Yakubu,Kaduna,ALC-015,3,Software Development,2024-01-27,complete,not certified,North-West
3MTT-F00756,Obinna,Yakubu,Zamfara,ALC-011,4,Cybersecurity,2024-01-27,incomplete,not certified,North-Central
3MTT-F00486,Yusuf,Garba,Ondo,ALC-042,4,DevOps,2024-01-27,incomplete,not certified,South-West
3MTT-F00376,Yusuf,Aliyu,Imo,ALC-044,3,Data Analysis,2024-01-28,complete,certified,South-East
3MTT-F01062,Umar,Afolabi,Edo,ALC-041,3,UI/UX Design,2024-01-28,complete,not certified,South-South
3MTT-F00799,Maryam,Okafor,Taraba,ALC-046,4,Cybersecurity,2024-01-29,incomplete,not certified,South-West
3MTT-F00661,Babatunde,Anyanwu,Anambra,ALC-032,4,AI/ML,2024-01-29,incomplete,not certified,South-East
3MTT-F00142,Temitope,Anyanwu,Osun,ALC-018,4,AI/ML,2024-01-29,complete,certified,South-West
3MTT-F00108,Temitope,Garba,Delta,ALC-023,4,AI/ML,2024-01-29,complete,certified,South-South
3MTT-F01024,Ifeanyi,Eze,Niger,ALC-009,4,Software Development,2024-01-29,incomplete,not certified,North-Central
3MTT-F00367,Obinna,Abubakar,Zamfara,ALC-017,3,UI/UX Design,2024-01-30,incomplete,not certified,North-Central
3MTT-F00416,Obinna,Musa,Lagos,ALC-016,3,DevOps,2024-01-30,complete,certified,South-West
3MTT-F00913,Segun,Ike,Ogun,ALC-051,4,Software Development,2024-01-30,complete,certified,North-Central
3MTT-F00132,Kayode,Effiong,Ogun,ALC-020,4,Software Development,2024-01-30,complete,certified,South-West
3MTT-F00255,Amina,Chukwu,Kebbi,ALC-003,3,Data Analysis,2024-01-31,incomplete,not certified,North-West
3MTT-F00578,Suleiman,Bello,Ekiti,ALC-024,4,Cloud Computing,2024-01-31,complete,not certified,North-West
3MTT-F01002,Suleiman,Anyanwu,Abia,ALC-038,3,Product Management,2024-01-31,incomplete,not certified,South-East
3MTT-F00636,Umar,Effiong,Gombe,ALC-026,3,UI/UX Design,2024-01-31,complete,not certified,North-East
3MTT-F00928,Zainab,Garba,Jigawa,ALC-031,4,Software Development,2024-01-31,incomplete,not certified,North-West
3MTT-F00847,Fatima,Bello,Enugu,ALC-048,3,UI/UX Design,2024-02-01,incomplete,not certified,South-East
3MTT-F00714,Bola,Hassan,Sokoto,ALC-054,3,UI/UX Design,2024-02-01,complete,certified,North-West
3MTT-F00392,Maryam,Adeyemi,Gombe,ALC-026,3,AI/ML,2024-02-01,complete,certified,North-East
3MTT-F00534,Dele,Ike,Ogun,ALC-019,3,UI/UX Design,2024-02-01,incomplete,not certified,North-East
3MTT-F00194,Nnamdi,Garba,Benue,ALC-UNKNOWN,4,AI/ML,2024-02-01,complete,certified,
3MTT-F00603,Bola,Okonkwo,Delta,ALC-023,3,Cybersecurity,2024-02-01,incomplete,not certified,South-South
3MTT-F00990,Obinna,Okafor,Rivers,ALC-018,4,Product Management,2024-02-02,complete,not certified,South-West
3MTT-F00897,Ekene,Ojo,Ekiti,ALC-048,4,DevOps,2024-02-02,complete,certified,South-East
3MTT-F00434,Adaeze,Anyanwu,Rivers,ALC-025,3,UI/UX Design,2024-02-03,complete,certified,North-Central
3MTT-F00697,Maryam,Adegoke,Bayelsa,ALC-021,3,DevOps,2024-02-03,complete,certified,South-South
3MTT-F00605,Umar,Garba,Osun,ALC-018,3,UI/UX Design,2024-02-03,complete,certified,South-West
3MTT-F00408,Bola,Chukwu,Imo,ALC-044,4,Product Management,2024-02-03,complete,certified,South-East
3MTT-F00510,Ifeanyi,Ibrahim,Rivers,ALC-030,3,Cloud Computing,2024-02-04,incomplete,not certified,North-East
3MTT-F00479,Suleiman,Musa,Lagos,ALC-016,4,Cloud Computing,2024-02-04,complete,certified,South-West
3MTT-F00871,Zainab,Sule,Cross River,ALC-010,4,DevOps,2024-02-04,complete,not certified,South-South
3MTT-F01122,Ifeanyi,Bello,Adamawa,ALC-UNKNOWN,4,Cybersecurity,2024-02-04,complete,certified,
3MTT-F00588,Temitope,Abubakar,Ebonyi,ALC-037,4,DevOps,2024-02-04,complete,certified,South-East
3MTT-F00729,Nnamdi,Hassan,Anambra,ALC-028,4,DevOps,2024-02-05,complete,certified,South-East
3MTT-F00187,Kayode,Abubakar,Yobe,ALC-019,3,DevOps,2024-02-05,complete,certified,North-East
3MTT-F00495,Zainab,Abubakar,Abuja,ALC-025,3,Software Development,2024-02-05,complete,certified,North-Central
3MTT-F00360,Dele,Effiong,Borno,ALC-030,3,AI/ML,2024-02-06,incomplete,not certified,North-East
3MTT-F01139,Segun,Aliyu,Ondo,ALC-042,3,AI/ML,2024-02-06,complete,certified,South-West
3MTT-F00802,Yusuf,Ibrahim,Rivers,ALC-008,4,Software Development,2024-02-06,complete,certified,South-West
3MTT-F00523,Amina,Okafor,Ogun,ALC-027,4,DevOps,2024-02-06,incomplete,not certified,South-South
3MTT-F00465,Fatima,Adegoke,Anambra,ALC-028,4,Software Development,2024-02-07,incomplete,not certified,South-East
3MTT-F00734,Maryam,Aliyu,Abia,ALC-054,3,Cybersecurity,2024-02-07,complete,certified,North-West
3MTT-F00328,Obinna,Okonkwo,Oyo,ALC-049,4,Software Development,2024-02-08,complete,certified,South-West
3MTT-F00273,Amina,Nwosu,Ogun,ALC-003,3,UI/UX Design,2024-02-08,incomplete,not certified,North-West
3MTT-F00440,Adaeze,Bello,Ondo,ALC-042,3,Software Development,2024-02-08,complete,certified,South-West
3MTT-F00418,Babatunde,Okafor,Sokoto,ALC-047,4,UI/UX Design,2024-02-09,complete,certified,North-West
3MTT-F00447,Chukwuemeka,Lawal,Sokoto,ALC-054,4,AI/ML,2024-02-09,complete,certified,North-West
3MTT-F00595,Oluwafemi,Okonkwo,Ekiti,ALC-034,4,UI/UX Design,2024-02-09,complete,certified,North-Central
3MTT-F00215,Nnamdi,Hassan,Jigawa,ALC-031,3,DevOps,2024-02-09,complete,certified,North-West
3MTT-F00217,Zainab,Lawal,Enugu,ALC-048,4,Software Development,2024-02-10,complete,certified,South-East
3MTT-F01146,Babatunde,Abubakar,Kebbi,ALC-003,4,Software Development,2024-02-10,complete,certified,North-West
3MTT-F00647,Yusuf,Badmus,Gombe,ALC-UNKNOWN,3,Cloud Computing,2024-02-10,complete,certified,
3MTT-F00864,Halima,Chukwu,Nasarawa,ALC-051,3,Data Analysis,2024-02-10,complete,certified,North-Central
3MTT-F00870,Umar,Musa,Kwara,ALC-013,3,DevOps,2024-02-11,complete,certified,North-Central
3MTT-F00747,Suleiman,Eze,Nasarawa,ALC-051,4,DevOps,2024-02-11,incomplete,not certified,North-Central
3MTT-F01082,Segun,Lawal,Plateau,ALC-007,4,DevOps,2024-02-11,incomplete,not certified,North-Central
3MTT-F00618,Suleiman,Lawal,Borno,ALC-030,3,Data Analysis,2024-02-11,complete,certified,North-East
3MTT-F00350,Ekene,Musa,Ekiti,ALC-030,4,AI/ML,2024-02-12,incomplete,not certified,North-East
3MTT-F00248,Dele,Effiong,Ekiti,ALC-006,4,DevOps,2024-02-12,incomplete,not certified,North-East
3MTT-F00651,Chukwuemeka,Hassan,Kwara,ALC-012,3,Cloud Computing,2024-02-12,complete,certified,North-Central
3MTT-F01148,Halima,Okafor,Bayelsa,ALC-021,4,Cloud Computing,2024-02-13,complete,certified,South-South
3MTT-F00193,Halima,Ike,Ebonyi,ALC-038,4,Cybersecurity,2024-02-13,complete,certified,South-East
3MTT-F00976,Zainab,Bello,Ogun,ALC-038,3,Product Management,2024-02-13,complete,not certified,South-East
3MTT-F00655,Nnamdi,Ike,Ogun,ALC-014,3,Software Development,2024-02-13,complete,certified,North-West
3MTT-F01061,Ifeanyi,Ibrahim,Enugu,ALC-048,4,Data Analysis,2024-02-13,incomplete,not certified,South-East
3MTT-F00424,Bola,Olawale,Yobe,ALC-UNKNOWN,3,AI/ML,2024-02-13,incomplete,not certified,
3MTT-F00432,Yusuf,Yakubu,Anambra,ALC-028,4,Cybersecurity,2024-02-13,complete,certified,South-East
3MTT-F00382,Suleiman,Yakubu,Anambra,ALC-028,4,Software Development,2024-02-14,complete,certified,South-East
3MTT-F00749,Obinna,Badmus,Anambra,ALC-028,3,Product Management,2024-02-14,complete,certified,South-East
3MTT-F01032,Babatunde,Nwosu,Cross River,ALC-010,3,Product Management,2024-02-14,complete,certified,South-South
3MTT-F00126,Maryam,Badmus,Ondo,ALC-042,4,Software Development,2024-02-15,complete,certified,South-West
3MTT-F00243,Nneka,Olawale,Katsina,ALC-039,3,Cloud Computing,2024-02-15,complete,certified,North-West
3MTT-F01132,Temitope,Ibrahim,Anambra,ALC-032,4,Cloud Computing,2024-02-15,complete,certified,South-East
3MTT-F00020,Maryam,Okafor,Edo,ALC-041,3,UI/UX Design,2024-02-15,complete,certified,South-South
3MTT-F01091,Segun,Nwachukwu,Benue,ALC-012,4,Software Development,2024-02-16,complete,certified,North-Central
3MTT-F00905,Chinwe,Ibrahim,Taraba,ALC-053,3,UI/UX Design,2024-02-16,complete,certified,North-West
3MTT-F01010,Bola,Okafor,Abuja,ALC-025,4,AI/ML,2024-02-16,incomplete,not certified,North-Central
3MTT-F01003,Maryam,Anyanwu,Imo,ALC-035,4,DevOps,2024-02-16,complete,certified,South-East
3MTT-F00016,Chinwe,Adegoke,Adamawa,ALC-001,3,UI/UX Design,2024-02-16,complete,certified,North-East
3MTT-F00326,Kayode,Eze,Niger,ALC-045,4,Product Management,2024-02-16,incomplete,not certified,North-Central
3MTT-F00664,Umar,Okonkwo,Jigawa,ALC-031,4,AI/ML,2024-02-17,incomplete,not certified,North-West
3MTT-F00436,Temitope,Lawal,Imo,ALC-044,3,DevOps,2024-02-17,incomplete,not certified,South-East
3MTT-F00199,Temitope,Musa,Niger,ALC-034,4,Cybersecurity,2024-02-17,complete,certified,North-Central
3MTT-F00988,Nnamdi,Yakubu,Jigawa,ALC-014,4,AI/ML,2024-02-17,complete,certified,North-West
3MTT-F00985,Suleiman,Eze,Ogun,ALC-052,4,UI/UX Design,2024-02-17,complete,not certified,North-Central
3MTT-F00816,Nneka,Olawale,Plateau,ALC-036,3,AI/ML,2024-02-18,complete,certified,North-Central
3MTT-F00622,Fatima,Garba,Kwara,ALC-030,3,Software Development,2024-02-18,complete,certified,North-East
3MTT-F00498,Ekene,Sule,Osun,ALC-018,4,AI/ML,2024-02-18,complete,certified,South-West
3MTT-F00069,Amina,Sule,Ondo,ALC-020,4,Software Development,2024-02-19,complete,certified,South-West
3MTT-F01005,Kayode,Lawal,Benue,ALC-002,3,UI/UX Design,2024-02-19,incomplete,not certified,North-Central
3MTT-F00730,Nnamdi,Okonkwo,Ondo,ALC-008,3,DevOps,2024-02-20,complete,certified,South-West
3MTT-F00002,Grace,Okafor,Ebonyi,ALC-037,4,Cybersecurity,2024-02-20,complete,certified,South-East
3MTT-F00133,Ifeanyi,Chukwu,Ekiti,ALC-046,4,Cybersecurity,2024-02-21,incomplete,not certified,South-West
3MTT-F00481,Ifeanyi,Ike,Ekiti,ALC-051,4,UI/UX Design,2024-02-21,incomplete,not certified,North-Central
3MTT-F00393,Oluwafemi,Anyanwu,Gombe,ALC-026,3,DevOps,2024-02-22,incomplete,not certified,North-East
3MTT-F00543,Ifeanyi,Garba,Niger,ALC-045,4,UI/UX Design,2024-02-22,complete,certified,North-Central
3MTT-F00246,Maryam,Bello,Ogun,ALC-046,4,UI/UX Design,2024-02-23,incomplete,not certified,South-West
3MTT-F00955,Fatima,Badmus,Akwa Ibom,ALC-035,3,Software Development,2024-02-23,complete,not certified,South-East
3MTT-F00817,Dele,Yakubu,Borno,ALC-030,3,DevOps,2024-02-23,incomplete,not certified,North-East
3MTT-F00608,Yusuf,Anyanwu,Zamfara,ALC-003,4,AI/ML,2024-02-24,incomplete,not certified,North-West
3MTT-F00178,Suleiman,Abubakar,Rivers,ALC-029,3,Product Management,2024-02-24,complete,certified,North-West
3MTT-F00090,Grace,Anyanwu,Lagos,ALC-016,4,Cloud Computing,2024-02-25,complete,not certified,South-West
3MTT-F00174,Umar,Badmus,Ogun,ALC-008,4,Cybersecurity,2024-02-26,incomplete,not certified,South-West
3MTT-F00947,Dele,Eze,Oyo,ALC-049,4,Cybersecurity,2024-02-26,incomplete,not certified,South-West
3MTT-F00854,Segun,Yakubu,Yobe,ALC-050,4,Cybersecurity,2024-02-26,complete,certified,North-East
3MTT-F00061,Obinna,Musa,Akwa Ibom,ALC-038,3,Data Analysis,2024-02-26,complete,certified,South-East
3MTT-F00369,Umar,Adeyemi,Yobe,ALC-050,4,Data Analysis,2024-02-27,incomplete,not certified,North-East
3MTT-F00706,Bola,Nwosu,Ogun,ALC-003,4,DevOps,2024-02-27,incomplete,not certified,North-West
3MTT-F00311,Chinwe,Lawal,Taraba,ALC-053,4,Software Development,2024-02-27,complete,certified,North-West
3MTT-F00613,Segun,Nwosu,Osun,ALC-046,4,Cybersecurity,2024-02-27,complete,certified,South-West
3MTT-F00825,Oluwafemi,Lawal,Kano,ALC-004,4,Software Development,2024-02-27,incomplete,not certified,North-West
3MTT-F00290,Zainab,Okafor,Sokoto,ALC-054,4,Cybersecurity,2024-02-27,incomplete,not certified,North-West
3MTT-F01072,Ekene,Eze,Katsina,ALC-039,4,Software Development,2024-02-28,complete,certified,North-West
3MTT-F00666,Obinna,Lawal,Kogi,ALC-040,4,UI/UX Design,2024-02-28,complete,certified,North-Central
3MTT-F01093,Yusuf,Bello,Bauchi,ALC-006,3,Software Development,2024-02-28,incomplete,not certified,North-East
3MTT-F00405,Ifeanyi,Aliyu,Abia,ALC-047,3,DevOps,2024-02-28,complete,certified,North-West
3MTT-F00288,Zainab,Ike,Kebbi,ALC-003,3,Product Management,2024-02-28,complete,certified,North-West
3MTT-F00569,Umar,Nwosu,Rivers,ALC-035,3,Cloud Computing,2024-02-29,complete,certified,South-East
3MTT-F00428,Temitope,Effiong,Osun,ALC-UNKNOWN,4,AI/ML,2024-02-29,complete,certified,
3MTT-F00739,Halima,Effiong,Taraba,ALC-046,4,Data Analysis,2024-02-29,complete,certified,South-West
3MTT-F00433,Amina,Olawale,Oyo,ALC-049,4,Product Management,2024-02-29,complete,certified,South-West
3MTT-F00857,Babatunde,Aliyu,Benue,ALC-002,3,Cybersecurity,2024-02-29,incomplete,not certified,North-Central
3MTT-F00585,Ifeanyi,Yakubu,Kano,ALC-004,4,Data Analysis,2024-03-01,incomplete,not certified,North-West
3MTT-F00214,Dele,Badmus,Zamfara,ALC-032,3,UI/UX Design,2024-03-01,incomplete,not certified,South-East
3MTT-F01070,Ifeanyi,Okafor,Ondo,ALC-042,4,Software Development,2024-03-01,incomplete,not certified,South-West
3MTT-F00577,Ifeanyi,Effiong,Delta,ALC-023,3,Cloud Computing,2024-03-01,complete,certified,South-South
3MTT-F00531,Chiamaka,Chukwu,Gombe,ALC-026,3,Product Management,2024-03-01,incomplete,not certified,North-East
3MTT-F00460,Bola,Nwachukwu,Bayelsa,ALC-021,3,Cloud Computing,2024-03-01,incomplete,not certified,South-South
3MTT-F01049,Kayode,Olawale,Gombe,ALC-026,3,Software Development,2024-03-02,incomplete,not certified,North-East
3MTT-F00606,Babatunde,Ojo,Kaduna,ALC-022,4,Software Development,2024-03-02,complete,certified,North-West
3MTT-F00653,Ifeanyi,Garba,Edo,ALC-041,3,Product Management,2024-03-02,incomplete,not certified,South-South
3MTT-F00330,Halima,Hassan,Zamfara,ALC-011,4,Cybersecurity,2024-03-02,complete,certified,North-Central
3MTT-F00022,Chinwe,Musa,Kwara,ALC-042,3,Product Management,2024-03-02,incomplete,not certified,South-West
3MTT-F00049,Yusuf,Okafor,Niger,ALC-034,4,Cloud Computing,2024-03-02,incomplete,not certified,North-Central
3MTT-F01089,Nneka,Olawale,Oyo,ALC-049,4,DevOps,2024-03-03,incomplete,not certified,South-West
3MTT-F01013,Chinwe,Musa,Edo,ALC-UNKNOWN,3,Cloud Computing,2024-03-03,complete,not certified,
3MTT-F00448,Chukwuemeka,Okonkwo,Abia,ALC-028,3,Cybersecurity,2024-03-03,incomplete,not certified,South-East
3MTT-F00966,Adaeze,Adegoke,Anambra,ALC-032,3,AI/ML,2024-03-04,complete,certified,South-East
3MTT-F00138,Halima,Nwosu,Niger,ALC-009,4,Data Analysis,2024-03-04,incomplete,not certified,North-Central
3MTT-F00909,Suleiman,Ibrahim,Sokoto,ALC-054,4,UI/UX Design,2024-03-05,complete,certified,North-West
3MTT-F01090,Zainab,Musa,Cross River,ALC-027,3,Product Management,2024-03-05,complete,certified,South-South
3MTT-F01096,Chukwuemeka,Eze,Ondo,ALC-042,3,Cybersecurity,2024-03-05,complete,certified,South-West
3MTT-F00754,Zainab,Yakubu,Cross River,ALC-027,4,Data Analysis,2024-03-05,complete,certified,South-South
3MTT-F00268,Grace,Sule,Enugu,ALC-048,4,AI/ML,2024-03-05,incomplete,not certified,South-East
3MTT-F00284,Ifeanyi,Chukwu,Niger,ALC-034,3,Product Management,2024-03-05,complete,not certified,North-Central
3MTT-F00336,Grace,Olawale,Delta,ALC-023,3,AI/ML,2024-03-06,complete,certified,South-South
3MTT-F00446,Nnamdi,Okafor,Borno,ALC-030,3,DevOps,2024-03-06,incomplete,not certified,North-East
3MTT-F01065,Temitope,Chukwu,Ebonyi,ALC-038,4,UI/UX Design,2024-03-06,incomplete,not certified,South-East
3MTT-F00256,Fatima,Afolabi,Kano,ALC-004,3,Data Analysis,2024-03-06,complete,certified,North-West
3MTT-F00499,Babatunde,Anyanwu,Ebonyi,ALC-037,3,DevOps,2024-03-06,complete,certified,South-East
3MTT-F00104,Obinna,Ibrahim,Kogi,ALC-011,4,DevOps,2024-03-06,incomplete,not certified,North-Central
3MTT-F00564,Chiamaka,Abubakar,Jigawa,ALC-014,4,Data Analysis,2024-03-07,complete,not certified,North-West
3MTT-F00671,Temitope,Okonkwo,Anambra,ALC-032,3,Cloud Computing,2024-03-07,complete,certified,South-East
3MTT-F00812,Nneka,Adeyemi,Borno,ALC-UNKNOWN,4,AI/ML,2024-03-07,incomplete,not certified,
3MTT-F00318,Nnamdi,Yakubu,Delta,ALC-023,4,UI/UX Design,2024-03-07,incomplete,not certified,South-South
3MTT-F00303,Oluwafemi,Ibrahim,Ebonyi,ALC-037,4,Cybersecurity,2024-03-08,complete,not certified,South-East
3MTT-F00140,Fatima,Sule,Sokoto,ALC-054,4,UI/UX Design,2024-03-08,complete,certified,North-West
3MTT-F00565,Nnamdi,Olawale,Benue,ALC-012,3,Cloud Computing,2024-03-08,complete,certified,North-Central
3MTT-F01004,Nneka,Bello,Zamfara,ALC-006,3,DevOps,2024-03-08,incomplete,not certified,North-East
3MTT-F00359,Amina,Sule,Abuja,ALC-025,4,Data Analysis,2024-03-08,complete,not certified,North-Central
3MTT-F00811,Fatima,Adeyemi,Taraba,ALC-001,4,Software Development,2024-03-08,complete,certified,North-East
3MTT-F00113,Ekene,Lawal,Yobe,ALC-050,4,Cloud Computing,2024-03-09,complete,certified,North-East
3MTT-F00153,Dele,Adeyemi,Enugu,ALC-048,4,Product Management,2024-03-09,complete,certified,South-East
3MTT-F00463,Suleiman,Afolabi,Ebonyi,ALC-038,4,Product Management,2024-03-09,complete,certified,South-East
3MTT-F00237,Ifeanyi,Lawal,Kogi,ALC-011,4,DevOps,2024-03-09,incomplete,not certified,North-Central
3MTT-F00676,Kayode,Musa,Rivers,ALC-044,3,DevOps,2024-03-09,complete,certified,South-East
3MTT-F00594,Ekene,Nwachukwu,Taraba,ALC-003,3,Product Management,2024-03-09,complete,certified,North-West
3MTT-F00682,Temitope,Abubakar,Lagos,ALC-016,4,DevOps,2024-03-09,complete,certified,South-West
3MTT-F00599,Ekene,Garba,Oyo,ALC-049,4,DevOps,2024-03-09,incomplete,not certified,South-West
3MTT-F00232,Chinwe,Bello,Osun,ALC-046,3,UI/UX Design,2024-03-10,complete,certified,South-West
3MTT-F01056,Nneka,Adeyemi,Katsina,ALC-039,4,Cloud Computing,2024-03-10,incomplete,not certified,North-West
3MTT-F00652,Fatima,Lawal,Anambra,ALC-028,3,Cybersecurity,2024-03-10,complete,certified,South-East
3MTT-F00777,Chukwuemeka,Nwosu,Oyo,ALC-049,4,Software Development,2024-03-12,incomplete,not certified,South-West
3MTT-F00009,Adaeze,Ojo,Ondo,ALC-020,4,Cloud Computing,2024-03-12,complete,certified,South-West
3MTT-F00667,Babatunde,Adeyemi,Ogun,ALC-020,3,DevOps,2024-03-12,complete,certified,South-West
3MTT-F00887,Obinna,Musa,Katsina,ALC-039,3,Cybersecurity,2024-03-13,incomplete,not certified,North-West
3MTT-F00732,Bola,Okafor,Gombe,ALC-026,3,Software Development,2024-03-13,incomplete,not certified,North-East
3MTT-F00450,Umar,Olawale,Enugu,ALC-048,3,DevOps,2024-03-13,complete,not certified,South-East
3MTT-F00443,Chiamaka,Eze,Lagos,ALC-016,4,UI/UX Design,2024-03-13,incomplete,not certified,South-West
3MTT-F00135,Nnamdi,Yakubu,Edo,ALC-041,3,UI/UX Design,2024-03-13,incomplete,not certified,South-South
3MTT-F00141,Ekene,Okafor,Plateau,ALC-033,4,Product Management,2024-03-13,incomplete,not certified,North-Central
3MTT-F00797,Adaeze,Sule,Bayelsa,ALC-021,3,AI/ML,2024-03-14,incomplete,not certified,South-South
3MTT-F00351,Chukwuemeka,Okonkwo,Gombe,ALC-026,3,UI/UX Design,2024-03-14,complete,certified,North-East
3MTT-F00708,Chiamaka,Lawal,Kwara,ALC-042,4,DevOps,2024-03-14,complete,certified,South-West
3MTT-F00346,Temitope,Hassan,Kano,ALC-004,4,Cybersecurity,2024-03-14,complete,certified,North-West
3MTT-F00809,Grace,Lawal,Niger,ALC-034,4,DevOps,2024-03-14,complete,certified,North-Central
3MTT-F00218,Halima,Anyanwu,Imo,ALC-044,4,AI/ML,2024-03-15,complete,certified,South-East
3MTT-F00740,Maryam,Chukwu,Osun,ALC-018,3,AI/ML,2024-03-15,incomplete,not certified,South-West
3MTT-F01123,Fatima,Afolabi,Yobe,ALC-050,4,Cybersecurity,2024-03-15,complete,certified,North-East
3MTT-F00514,Ifeanyi,Ojo,Taraba,ALC-011,4,Software Development,2024-03-15,complete,certified,North-Central
3MTT-F01137,Nnamdi,Eze,Niger,ALC-009,3,UI/UX Design,2024-03-16,complete,not certified,North-Central
3MTT-F01026,Ifeanyi,Musa,Jigawa,ALC-031,4,Data Analysis,2024-03-16,complete,certified,North-West
3MTT-F00068,Ekene,Bello,Plateau,ALC-036,4,AI/ML,2024-03-16,incomplete,not certified,North-Central
3MTT-F00951,Grace,Abubakar,Zamfara,ALC-006,4,Cloud Computing,2024-03-17,incomplete,not certified,North-East
3MTT-F00815,Nnamdi,Nwosu,Borno,ALC-030,3,Data Analysis,2024-03-17,complete,certified,North-East
3MTT-F00053,Fatima,Ike,Kwara,ALC-036,3,AI/ML,2024-03-17,complete,not certified,North-Central
3MTT-F00198,Nneka,Afolabi,Sokoto,ALC-UNKNOWN,3,DevOps,2024-03-17,complete,certified,
3MTT-F00843,Ifeanyi,Anyanwu,Ekiti,ALC-006,3,Product Management,2024-03-17,incomplete,not certified,North-East
3MTT-F00872,Temitope,Musa,Ekiti,ALC-UNKNOWN,3,Cybersecurity,2024-03-18,complete,certified,
3MTT-F00441,Suleiman,Eze,Bayelsa,ALC-021,4,Data Analysis,2024-03-18,complete,certified,South-South
3MTT-F00204,Temitope,Musa,Bauchi,ALC-006,3,Cybersecurity,2024-03-18,incomplete,not certified,North-East
3MTT-F00703,Umar,Aliyu,Sokoto,ALC-054,3,Cybersecurity,2024-03-19,complete,not certified,North-West
